"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2782","2017-08-23","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","5","11000"
"4736","2017-08-23","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","0","1200","11000"
"4736","2017-08-23","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","27","11000"
"4736","2017-08-23","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","2200","11000"
"4736","2017-08-23","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","51","11000"
"4736","2017-08-23","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","2200","11000"
"4736","2017-08-23","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","51","11000"
"6093","2017-08-23","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","0","1300","11000"
"6093","2017-08-23","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","1","11000"
"6093","2017-08-23","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","8","11000"
"6093","2017-08-23","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","300","11000"
"6093","2017-08-23","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","63","11000"
