"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2315","2017-08-18","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","203100","11000"
"2315","2017-08-18","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","1","11000"
"2315","2017-08-18","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","203100","11000"
"2315","2017-08-18","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","1","11000"
"3246","2017-08-18","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","57","11000"
"3760","2017-08-18","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","1","16","11000"
"7575","2017-08-18","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","27","11000"
"7575","2017-08-18","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","6","11000"
"9974","2017-08-18","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","0","400","11000"
"9974","2017-08-18","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","1","8","11000"
