"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2471","2017-08-07","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","1000","11000"
"2471","2017-08-07","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","12","11000"
"3844","2017-08-07","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","6","11000"
"6080","2017-08-07","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique06.IDO_HEKIN_2_L","1","3","11000"
"7965","2017-08-07","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","8000","11000"
"7965","2017-08-07","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","15","11000"
"7965","2017-08-07","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","0","7100","11000"
"7965","2017-08-07","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","1","22","11000"
"9438","2017-08-07","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","16","11000"
"9438","2017-08-07","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","32","11000"
