"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2154","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","5","11000"
"2315","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","322300","11000"
"2315","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","44","11000"
"2315","2017-08-14","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","0","237500","11000"
"2315","2017-08-14","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","1","85","11000"
"2454","2017-08-14","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","23","11000"
"3578","2017-08-14","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","0","14300","11000"
"3578","2017-08-14","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","38","11000"
"3578","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","28700","11000"
"3578","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","28","11000"
"3578","2017-08-14","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","14300","11000"
"3578","2017-08-14","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","90","11000"
"6098","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","3100","11000"
"6098","2017-08-14","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","77","11000"
"9948","2017-08-14","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","0","3000","11000"
"9948","2017-08-14","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","2","11000"
"9948","2017-08-14","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","0","2500","11000"
"9948","2017-08-14","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","1","77","11000"
