"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2154","2017-08-10","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","0","1300","11000"
"2154","2017-08-10","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","33","11000"
"2154","2017-08-10","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","5","11000"
"2154","2017-08-10","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","20","11000"
"3391","2017-08-10","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","0","100","11000"
"3391","2017-08-10","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","72","11000"
"3391","2017-08-10","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","300","11000"
"3391","2017-08-10","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","42","11000"
"3391","2017-08-10","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","1","87","11000"
"4849","2017-08-10","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","4","11000"
"9517","2017-08-10","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","0","4100","11000"
"9517","2017-08-10","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","45","11000"
"9517","2017-08-10","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","0","3100","11000"
"9517","2017-08-10","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","22","11000"
"9517","2017-08-10","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","6200","11000"
"9517","2017-08-10","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","3","11000"
