"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"2498","2017-08-16","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","5700","11000"
"2498","2017-08-16","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","90","11000"
"3697","2017-08-16","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","26","11000"
"6942","2017-08-16","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","100","11000"
"6942","2017-08-16","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","66","11000"
"8732","2017-08-16","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","0","18300","11000"
"8732","2017-08-16","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","94","11000"
"8732","2017-08-16","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","0","14200","11000"
"8732","2017-08-16","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique06.IDO_HEKIN_2_L","1","55","11000"
