code,dayTime,type,entryMethod,exitMethod,MINI_CHECK_flg,realEntryVolume,entry_money
1663,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,6,1000000
2163,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,8,1000000
2315,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,173,1000000
2321,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,51,1000000
3660,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,13,1000000
4293,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,30,1000000
4368,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,3,1000000
4572,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,6,1000000
4927,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,4,1000000
6840,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,30,1000000
7965,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,9,1000000
9419,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,7,1000000
9758,2017/7/14,DD,technique.Technique08.MACD_IDOHEIKIN_L,technique.Technique06.IDO_HEKIN_2_L,0,19,1000000
