"code","dayTime","type","entryMethod","exitMethod","MINI_CHECK_flg","realEntryVolume","entry_money"
"3134","2017-08-17","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","51","11000"
"3281","2017-08-17","DD","technique.Technique04.MACD_M_L_OVER0","technique.Technique04.MACD_M_S_OVER0","1","27","11000"
"3281","2017-08-17","DD","technique.Technique08.MACD_IDOHEIKIN_L","technique.Technique04.MACD_M_S_OVER0","1","18","11000"
"4613","2017-08-17","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique06.IDO_HEKIN_2_L","1","10","11000"
"4707","2017-08-17","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","0","300","11000"
"4707","2017-08-17","DD","technique.Technique04.MACD_M_L","technique.Technique04.MACD_M_S_OVER0","1","45","11000"
"4707","2017-08-17","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","70","11000"
"6664","2017-08-17","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","70","11000"
"6669","2017-08-17","DD","technique.Technique06.IDO_HEKIN_1_S","technique.Technique04.MACD_M_S_OVER0","1","12","11000"
"6669","2017-08-17","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","0","500","11000"
"6669","2017-08-17","DD","technique.Technique06.IDO_HEKIN_3_S","technique.Technique04.MACD_M_S_OVER0","1","8","11000"
